recorded_at,period_key,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,merch_pkg_50,merch_pkg_100,merch_pkg_125,merch_pkg_200,merch_pkg_250,merch_pkg_1kg,stock_pkg_50,stock_pkg_100,stock_pkg_125,stock_pkg_200,stock_pkg_250,stock_pkg_1kg,stock_other
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Alaskan Ice,25,216,,5,,,,,,3,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Alaskan Ice,256,205,,4,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Alaskan Ice,57,244,,5,,,,,,9,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Apple Cider,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Apple Cider,,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Apple Cider,,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Apple Cider,,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Barista'S Choice,,,,,,,,,,100,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Barista'S Choice,72,,,1,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Barista'S Choice,0,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Barista'S Choice,101,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Bermuda Mint,,,,,,,,,,135,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Bermuda Mint,136,205,,4,,,,,,7,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Bermuda Mint,231,211,,5,,,,,,4,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Bermuda Mint,133,215,,4,,,,,,5,,,,,
2025-12-26,202512,12,office,AZR BLACK (Azure Black Line),Bermuda Mint(Black),,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AZR BLACK (Azure Black Line),Bermuda Mint(Black),,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR BLACK (Azure Black Line),Bermuda Mint(Black),,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZR BLACK (Azure Black Line),Bermuda Mint(Black),,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Berrymania,,,,,,,,,,125,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Berrymania,52,,,5,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Berrymania,214,,,4,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Berrymania,113,,,5,,,,,,2,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Black Tea,,,,,,,,,,100,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Black Tea,77,,,5,,,,,,1,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Black Tea,41,,,4,,,,,,,,,,,
