brand_name,flavor_name,is_active
Tangiers Noir,Nectarine,TRUE
Tangiers Noir,New Lemon Lime,FALSE
Tangiers Noir,Ololiuqui,TRUE
Tangiers Noir,Orange Soda,TRUE
Tangiers F-Line,Orange Soda (F-Line),TRUE
Tangiers Noir,Panic Punch,TRUE
Tangiers Birquq,Panic Punch (Birquq),TRUE
Tangiers Noir,Papa'S Foreplay,TRUE
Tangiers Noir,Papaya Sorbet,TRUE
Tangiers Noir,Passion Lemonade,TRUE
Tangiers Noir,Peach Cobbler,TRUE
Tangiers Noir,Peach Iced Tea,TRUE
Tangiers Noir,Pear,TRUE
Tangiers Noir,Pikina Sun,TRUE
Tangiers Birquq,Pikina Sun (Birquq),TRUE
Tangiers Noir,Pineapple,TRUE
Tangiers Noir,Pinepas,TRUE
Tangiers Birquq,Pinepas (Birquq),TRUE
Tangiers Noir,Pinetops,FALSE
Tangiers Noir,Pink Grapefruit,TRUE
Tangiers Noir,Pomegranate,TRUE
Tangiers Burley,Prince Of Grey (Burley),FALSE
Tangiers Noir,Pumpkin,TRUE
Tangiers Noir,Rangoon Sunrise,FALSE
Tangiers Noir,Rasfruit,FALSE
Tangiers Noir,Raspberry Iced Tea,TRUE
Tangiers Noir,Regal Flower,TRUE
Tangiers Noir,Sage Mint,FALSE
Tangiers Noir,Sevilla Orange,FALSE
Tangiers Noir,Sour,FALSE
Tangiers Noir,Static Starlight,FALSE
Tangiers Noir,Strawberry,TRUE
Tangiers Noir,Strawberry Kiwi,TRUE
Tangiers Noir,Surfer'S Delight,TRUE
Tangiers Noir,Tasty Peach,TRUE
Tangiers Noir,The Last Pie,TRUE
Tangiers Noir,Tropical Revenge,TRUE
Tangiers Noir,Tuscan Cantaloupe,FALSE
Tangiers Noir,Vanilla,TRUE
Tangiers Noir,Watermelon,TRUE
Tangiers Noir,Welsh Cream,TRUE
Tangiers Noir,White Grape,TRUE
Tangiers Noir,Yunnan Shaddock,TRUE
Vang Vieng Mix,Double Apple (AF+RV),FALSE
