recorded_at,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,pkg_50,pkg_100,pkg_125,pkg_200,pkg_250,pkg_1kg,val_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-25,12,office,ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,
,,,,名前,"メニュー
内/外","ホース
の色","標準
タッパー数",,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計
,,,AZR GOLD (Azure Gold Line),Carolina Peach,◯,Normal,1,"12,077",-,-,-,-,0,,90,,,,,,"9,000",,,,,,,0,"9,000",132,-,-,-,132,,4,,,,,,400,,5,,,,,500,"1,032",123,-,-,-,123,,3,,,,,,300,,4,,,,,400,823,122,-,-,-,122,,6,,,,,,600,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Chai Masala,◯,Strong,1,"17,808",-,-,-,-,0,,155,,,,,,"15,500",,,,,,,0,"15,500",130,-,-,-,130,,,,,,,,0,,3,,,,,300,430,218,-,-,-,218,,1,,,,,,100,,5,,,,,500,818,160,-,-,-,160,,4,,,,,,400,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Chocolate Cake,◯,Sweet,,"13,347",-,-,-,-,0,,110,,,,,,"11,000",,,,,,,0,"11,000",84,-,-,-,84,,,,,,,,0,,3,,,,,300,384,133,-,-,-,133,,9,,,,,,900,,2,,,,,200,"1,233",130,-,-,-,130,,1,,,,,,100,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Chocolate Mint,◯,Sweet,1,"15,665",-,-,-,-,0,,125,,,,,,"12,500",,,,,,,0,"12,500",222,-,-,-,222,,6,,,,,,600,,4,,,,,400,"1,222",185,-,-,-,185,,3,,,,,,300,,5,,,,,500,985,158,-,-,-,158,,5,,,,,,500,,3,,,,,300
,,,AZR GOLD (Azure Gold Line),Cinnamon Cookies,◯,Sweet,1,"11,961",-,-,-,-,0,,95,,,,,,"9,500",,,,,,,0,"9,500",152,273,-,-,425,,,,,,,,0,,4,,,,,400,825,96,0,-,-,96,,3,,,,,,300,,5,,,,,500,896,240,-,-,-,240,,,,,,,,0,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Cocomania,◯,Normal,1,434,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,146,-,-,-,146,,,,,,,,0,,,,,,,0,146,132,-,-,-,132,,,,,,,,0,,,,,,,0,132,156,-,-,-,156,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Copacabana,✕,Normal,,202,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,101,-,-,-,101,,,,,,,,0,,,,,,,0,101,30,-,-,-,30,,,,,,,,0,,,,,,,0,30,71,-,-,-,71,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Cucumelon,✕,Normal,,227,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,24,-,-,-,24,,,,,,,,0,,1,,,,,100,124,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,103,-,-,-,103,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),D Cherry,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Down Under,◯,Normal,2,"19,296",-,-,-,-,0,,160,,,,,,"16,000",,,,,,,0,"16,000",14,220,-,-,234,,4,,,,,,400,,5,,,,,500,"1,134",68,0,-,-,68,,7,,,,,,700,,1,,,,,100,868,180,214,-,-,394,,5,,,,,,500,,4,,,,,400
