recorded_at,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,pkg_50,pkg_100,pkg_125,pkg_200,pkg_250,pkg_1kg,val_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-25,12,office,ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,
,,,,名前,"メニュー
内/外","ホース
の色","標準
タッパー数",,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計
,,,TG NOIR (Tangiers Noir),Kashmir Lime,✕,Strong,,"4,367",-,-,-,-,0,,40,,,,,,"4,000",,,,,,,0,"4,000",167,-,-,-,167,,2,,,,,,200,,,,,,,0,367,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Kashmir Peach,△,Strong,1,387,-,-,-,-,0,,0,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,72,-,-,-,72,,1,,,,,,100,,,,,,,0,172,115,-,-,-,115,,1,,,,,,100,,,,,,,0
,,,TG NOIR (Tangiers Noir),Key Lime Pie,✕,Normal,,40,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,40,-,-,-,40,,,,,,,,0,,,,,,,0,40,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Kosmik,✕,Strong,,"2,617",-,-,-,-,0,,20,,,,,,"2,000",,,,,,,0,"2,000",217,-,-,-,217,,4,,,,,,400,,,,,,,0,617,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Lemon Blossom,✕,Normal,,15,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,15,-,-,-,15,,,,,,,,0,,,,,,,0,15,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Lemon Lime,△,Normal,1,63,-,-,-,-,0,,0,,,,,,0,,,,,,,0,0,63,-,-,-,63,,,,,,,,0,,,,,,,0,63,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Lemongrass,✕,Normal,,93,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,93,-,-,-,93,,,,,,,,0,,,,,,,0,93,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Lemon Tea,✕,Normal,,"2,634",-,-,-,-,0,,24,,,,,,"2,400",,,,,,,0,"2,400",134,-,-,-,134,,1,,,,,,100,,,,,,,0,234,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Liquorice,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Little Purple Stuff,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Mandarin Orange,✕,Normal,,140,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,140,-,-,-,140,,,,,,,,0,,,,,,,0,140,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Maraschino Cherry,✕,Strong,,"2,874",-,-,-,-,0,,27,,,,,,"2,700",,,,,,,0,"2,700",174,-,-,-,174,,,,,,,,0,,,,,,,0,174,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Marigold,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Midnight Orchard Apple,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Mime,✕,Normal,,"1,768",-,-,-,-,0,,15,,,,,,"1,500",,,,,,,0,"1,500",168,-,-,-,168,,1,,,,,,100,,,,,,,0,268,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Mimon,✕,Normal,,"2,308",-,-,-,-,0,,20,,,,,,"2,000",,,,,,,0,"2,000",34,-,-,-,34,,1,,,,,,100,,,,,,,0,134,174,-,-,-,174,,,,,,,,0,,,,,,,0,174,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Nectarine,✕,Normal,,588,-,-,-,-,0,,1,,,,,,100,,,,,,,0,100,260,228,-,-,488,,,,,,,,0,,,,,,,0,488,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),New Lemon Lime,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Ololiuqui,✕,Strong,,"4,166",-,-,-,-,0,,27,,,,,,"2,700",,,,,,,0,"2,700",134,-,-,-,134,,2,,,,,,200,,,,,,,0,334,27,-,-,-,27,,8,,,,,,800,,,,,,,0,827,205,-,-,-,205,,1,,,,,,100,,,,,,,0
,,,TG NOIR (Tangiers Noir),Orange Soda,△,Normal,1,"3,448",-,-,-,-,0,,24,,,,,,"2,400",,,,,,,0,"2,400",84,-,-,-,84,,1,,,,,,100,,,,,,,0,184,194,-,-,-,194,,3,,,,,,300,,,,,,,0,494,170,-,-,-,170,,2,,,,,,200,,,,,,,0
,,,TG F-LINE (Tangiers F-Line),Orange Soda (F-Line),✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Panic Punch,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG BIRQUQ (Tangiers Birquq),Panic Punch (Birquq),✕,Normal,,799,-,-,-,-,0,,5,,,,,,500,,,,,,,0,500,99,-,-,-,99,,2,,,,,,200,,,,,,,0,299,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Papa'S Foreplay,✕,Normal,,99,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,99,-,-,-,99,,,,,,,,0,,,,,,,0,99,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Papaya Sorbet,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Passion Lemonade,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Peach Cobbler,✕,Normal,,336,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,86,-,-,-,86,,,,,1,,,250,,,,,,,0,336,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Peach Iced Tea,✕,Normal,,696,-,-,-,-,0,,3,,,,,,300,,,,,,,0,300,100,-,-,-,100,,2,,,,,,200,,,,,,,0,300,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,96,-,-,-,96,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Pear,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Pikina Sun,✕,Normal,,82,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,82,-,-,-,82,,,,,,,,0,,,,,,,0,82,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Pineapple,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Pinepas,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Pinetops,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Pink Grapefruit,✕,Normal,,"3,466",-,-,-,-,0,,27,,,,,,"2,700",,,,,,,0,"2,700",125,-,-,-,125,,,,,,,,0,,,,,,,0,125,171,-,-,-,171,,1,,,,,,100,,,,,,,0,271,170,-,-,-,170,,2,,,,,,200,,,,,,,0
,,,TG NOIR (Tangiers Noir),Pomegranate,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG BURLEY (Tangiers Burley),Prince Of Grey (Burley),✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Pumpkin,✕,Strong,,"1,479",-,-,-,-,0,,12,,,,,,"1,200",,,,,,,0,"1,200",179,-,-,-,179,,1,,,,,,100,,,,,,,0,279,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Rangoon Sunrise,✕,Normal,,32,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,32,-,-,-,32,,,,,,,,0,,,,,,,0,32,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Rasfruit,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Raspberry Iced Tea,✕,Strong,,"1,460",-,-,-,-,0,,8,,,,,,800,,,,,,,0,800,115,-,-,-,115,,,,,,,,0,,,,,,,0,115,249,-,-,-,249,,,,,,,,0,,,,,,,0,249,196,-,-,-,196,,1,,,,,,100,,,,,,,0
,,,TG NOIR (Tangiers Noir),Regal Flower,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Sage Mint,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Sevilla Orange,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Sour,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Static Starlight,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Strawberry,✕,Normal,,"1,279",-,-,-,-,0,,10,,,,,,"1,000",,,,,,,0,"1,000",144,-,-,-,144,,1,,,,,,100,,,,,,,0,244,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,35,-,-,-,35,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Strawberry Kiwi,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Surfer'S Delight,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Tasty Peach,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),The Last Pie,✕,Sweet,,172,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,172,-,-,-,172,,,,,,,,0,,,,,,,0,172,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Tropical Revenge,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Tuscan Cantaloupe,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Vanilla,✕,Sweet,,"2,550",-,-,-,-,0,,23,,,,,,"2,300",,,,,,,0,"2,300",150,-,-,-,150,,1,,,,,,100,,,,,,,0,250,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Watermelon,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Welsh Cream,✕,Sweet,,337,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,237,-,-,-,237,,1,,,,,,100,,,,,,,0,337,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),White Grape,✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,TG NOIR (Tangiers Noir),Yunnan Shaddock,✕,Normal,,493,-,-,-,-,0,,3,,,,,,300,,,,,,,0,300,118,-,-,-,118,,,,,,,,0,,,,,,,0,118,75,-,-,-,75,,,,,,,,0,,,,,,,0,75,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,VV (Vang Vieng Mix),Double Apple (AF+RV),✕,Strong,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
